Bluewin	2017-05	PI/Visits	6.5
Bluewin	2017-05	Page Impressions	246425152
Bluewin	2017-05	Unique Clients	2736000
Bluewin	2017-05	Nutzungsdauer	0:08:19
Bluewin	2017-05	Visits	37922852
Bluewin	2017-05	Visits/UCs	13.9
Bluewin	2017-06	CH PIs	90-94%
Bluewin	2017-06	CH Visits	90-94%
Bluewin	2017-06	PI/Visits	6.3
Bluewin	2017-06	Page Impressions	221765519
Bluewin	2017-06	Unique Clients	2669000
Bluewin	2017-06	Nutzungsdauer	0:08:16
Bluewin	2017-06	Visits	35123218
Bluewin	2017-06	Visits/UCs	13.2
Bluewin	2017-07	CH PIs	90-94%
Bluewin	2017-07	CH Visits	90-94%
Bluewin	2017-07	PI/Visits	6.5
Bluewin	2017-07	Page Impressions	223284721
Bluewin	2017-07	Unique Clients	2594000
Bluewin	2017-07	Nutzungsdauer	0:08:08
Bluewin	2017-07	Visits	34101038
Bluewin	2017-07	Visits/UCs	13.1
Bluewin	2017-08	CH PIs	90-94%
Bluewin	2017-08	CH Visits	90-94%
Bluewin	2017-08	PI/Visits	6.2
Bluewin	2017-08	Page Impressions	220405809
Bluewin	2017-08	Unique Clients	2645000
Bluewin	2017-08	Nutzungsdauer	0:08:16
Bluewin	2017-08	Visits	35265570
Bluewin	2017-08	Visits/UCs	13.3
Bluewin	2017-09	CH PIs	90-94%
Bluewin	2017-09	CH Visits	90-94%
Bluewin	2017-09	PI/Visits	6.2
Bluewin	2017-09	Page Impressions	217243373
Bluewin	2017-09	Unique Clients	2578000
Bluewin	2017-09	Nutzungsdauer	0:08:19
Bluewin	2017-09	Visits	34799580
Bluewin	2017-09	Visits/UCs	13.5
Bluewin	2017-10	CH PIs	90-94%
Bluewin	2017-10	CH Visits	90-94%
Bluewin	2017-10	PI/Visits	6.1
Bluewin	2017-10	Page Impressions	217713223
Bluewin	2017-10	Unique Clients	2605000
Bluewin	2017-10	Nutzungsdauer	0:08:19
Bluewin	2017-10	Visits	35846532
Bluewin	2017-10	Visits/UCs	13.8
Energy.ch	2016-10	CH PIs	85-89%
Energy.ch	2016-10	CH Visits	85-89%
Energy.ch	2016-10	PI/Visits	4.8
Energy.ch	2016-10	Page Impressions	8899646
Energy.ch	2016-10	Unique Clients	296000
Energy.ch	2016-10	Nutzungsdauer	0:06:00
Energy.ch	2016-10	Visits	1836563
Energy.ch	2016-10	Visits/UCs	6.2
Energy.ch	2016-11	CH PIs	90-94%
Energy.ch	2016-11	CH Visits	90-94%
Energy.ch	2016-11	PI/Visits	10.4
Energy.ch	2016-11	Page Impressions	25982684
Energy.ch	2016-11	Unique Clients	422000
