Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
news.ch - fashion.ch;;;;;;;;newsch;
news.ch - fussball.ch;;;;;;;;newsch;
news.ch - greeninvestment.ch;;;;;;;;newsch;
news.ch - informatik.ch;;;;;;;;newsch;
news.ch - konkurs.ch;;;;;;;;newsch;
news.ch - nebelspalter.ch;;;;;;;;newsch;
news.ch - piratenradio.ch;;;;;;;;newsch;
news.ch - seite3.ch;;;;;;;;newsch;
news.ch - skialpin.ch;;;;;;;;newsch;
news.ch - snowboard.ch;;;;;;;;newsch;
news.ch - sommerguide.ch;;;;;;;;newsch;
news.ch - versicherungen.ch;;;;;;;;newsch;
news.ch - werbung.ch;;;;;;;;newsch;
news.ch - wetter.ch;;;;;;;;newsch;
news.ch - winterguide.ch;;;;;;;;newsch;
news.ch - wirtschaft.ch;;;;;;;;newsch;
nick.ch;41000;178032;90-94%;0:21:12;829668;;331;nick;
nordagenda.ch;18000;35349;80-84%;0:04:52;103364;;306;nordagen;
Nordwestschweiz Netz;1104000;5001417;85-89%;0:04:59;28008941;;369;aznetz;
Nordwestschweiz Netz - a-z.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - aargauerzeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - badenertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - basellandschaftlichezeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - bzbasel.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - gedenkzeit.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - grenchnertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - limmattalerzeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - myjob.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - oltnertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - petitio.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - punktlandung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - solothurnerzeitung.ch;;;;;;;;aznetz;
Online PC;32000;65814;65-69%;0:03:13;138677;;486;onlinepc;
online-kiosk.ch;18000;29425;85-89%;0:03:40;79383;;325;onlineki;
partyguide.ch;78000;163365;90-94%;0:07:15;3738115;;187;partygui;
PCtipp Online;644000;1292234;25-49%;0:03:13;2371782;;182;idgpctip;
persoenlich.com;96000;252969;80-84%;0:05:07;492714;;273;persoen;
Pro7.ch;315000;598009;95-100%;0:04:48;1392366;;121;pro7;
Pro7.ch - galileo.tv;;;;;;;;pro7;
Pro7.ch - the-voice-of-germany;;;;;;;;pro7;
radio24.ch;32000;135097;85-89%;0:05:43;348148;;209;radio24;
radiomunot.ch;12000;49145;90-94%;0:07:13;148861;;353;radmunot;
radiopilatus.ch;152000;380992;90-94%;0:03:24;812730;;97;pilatus;
regiolive.ch;12000;26696;85-89%;0:03:19;49996;;139;wiggert;
RFJ;69000;469004;90-94%;0:03:19;1401885;;16;rfj;
